posting_id,source,title,company,role,ai_inflected,seniority_years,posted_date,skill_ids,skill_names,facets_present,salary_known,salary_period,monthly_min,monthly_max,monthly_point
104:8urkt,104,數據工程師(Data Engineer) - Python/ETL/MongoDB,果友科技有限公司,data_engineer,False,1.0,,"python,airflow,data_warehouse,etl,mongodb,numpy,pandas,statistics,ci_cd","Python, Airflow, Data Warehouse, ETL/ELT, MongoDB, NumPy, pandas, Statistics, CI/CD","1,2,2,2,2,2,2,3,6",False,unknown,,,
104:8xi1f,104,徵 數位創發中心-專任職員2名(Power BI 資料分析工程師),本公司其他工作,data_analyst,False,,,"python,sql,data_warehouse,etl,mongodb,statistics,azure,gcp,dashboard,data_viz,excel,looker,power_bi,tableau,dotnet","Python, SQL, Data Warehouse, ETL/ELT, MongoDB, Statistics, Azure, GCP, Dashboarding, Data Visualization, Excel, Looker, Power BI, Tableau, .NET","1,1,2,2,2,3,7,7,8,8,8,8,8,8,9",False,unknown,,,
104:91q4a,104,Tableau資料工程師,緯德科技股份有限公司 (TechLink Corporation),data_analyst,False,1.0,,"python,sql,etl,mongodb,mysql,dashboard,power_bi,tableau","Python, SQL, ETL/ELT, MongoDB, MySQL, Dashboarding, Power BI, Tableau","1,1,2,2,2,8,8,8",False,unknown,,,
104:8ti6d,104,Data Engineer 資料工程師,Gogoro Taiwan Limited_睿能創意股份有限公司,data_analyst,False,3.0,,"java,python,sql,etl,hadoop,mongodb,mysql,statistics,dashboard,power_bi,tableau","Java, Python, SQL, ETL/ELT, Hadoop, MongoDB, MySQL, Statistics, Dashboarding, Power BI, Tableau","1,1,1,2,2,2,2,3,8,8,8",False,unknown,,,
104:7ihuk,104,資料工程師,云智資訊股份有限公司,data_analyst,False,2.0,,"python,sql,etl,mongodb,power_bi,tableau","Python, SQL, ETL/ELT, MongoDB, Power BI, Tableau","1,1,2,2,8,8",False,unknown,,,
104:8xjwv,104,AI數據工程師,建準電機工業股份有限公司,data_analyst,False,5.0,,"python,etl,mongodb,mysql,aws,azure,dashboard,power_bi,tableau","Python, ETL/ELT, MongoDB, MySQL, AWS, Azure, Dashboarding, Power BI, Tableau","1,2,2,2,7,7,8,8,8",False,unknown,,,
104:8idjr,104,數據工程師,久浪智醫股份有限公司,data_analyst,True,,,"python,data_warehouse,etl,machine_learning,statistics,ai_agents,power_bi,tableau","Python, Data Warehouse, ETL/ELT, Machine Learning (general), Statistics, AI Agents, Power BI, Tableau","1,2,2,3,3,5,8,8",False,unknown,,,
104:9285q,104,HR Generalist 人資管理師,香港商永道無線射頻標籤有限公司台灣分公司,data_analyst,False,3.0,,"statistics,dashboard,tableau","Statistics, Dashboarding, Tableau","3,8,8",False,unknown,,,
104:92jib,104,#210757208 Securities Services Operations Analyst,摩根大通證券股份有限公司,data_analyst,False,1.0,,tableau,Tableau,8,False,unknown,,,
104:8kgsh,104,"【台北】數據工程師Data Engineer — ""Data Infrastructure Architect""",創智動能股份有限公司,data_engineer,False,1.0,,"python,sql,airflow,etl,mongodb,aws,azure,gcp,dashboard,tableau","Python, SQL, Airflow, ETL/ELT, MongoDB, AWS, Azure, GCP, Dashboarding, Tableau","1,1,2,2,2,7,7,7,8,8",False,unknown,,,
104:8thk7,104,數據工程師(Data Engineer) - Python/API開發/ETL,果友科技有限公司,data_engineer,False,1.0,,"python,etl,mongodb,numpy,pandas,statistics,docker,fastapi,aws,azure,gcp","Python, ETL/ELT, MongoDB, NumPy, pandas, Statistics, Docker, FastAPI, AWS, Azure, GCP","1,2,2,2,2,3,6,6,7,7,7",False,unknown,,,
104:7xcgt,104,行銷部-數據工程師 ( Data Engineer ),全聯福利中心_全聯實業股份有限公司,data_engineer,False,1.0,,"python,sql,airflow,data_warehouse,dbt,etl,mongodb,statistics,docker,gcp,looker,power_bi,tableau","Python, SQL, Airflow, Data Warehouse, dbt, ETL/ELT, MongoDB, Statistics, Docker, GCP, Looker, Power BI, Tableau","1,1,2,2,2,2,2,3,6,7,8,8,8",False,unknown,,,
104:8p0av,104,(C6) 資深數據工程師Senior Data Engineer（內湖）,鴻海精密工業股份有限公司,data_engineer,True,3.0,,"python,airflow,kafka,spark,etl,hadoop,mongodb,rag,docker,kubernetes,aws,azure,gcp,data_viz","Python, Airflow, Apache Kafka, Apache Spark, ETL/ELT, Hadoop, MongoDB, RAG, Docker, Kubernetes, AWS, Azure, GCP, Data Visualization","1,2,2,2,2,2,2,5,6,6,7,7,7,8",False,unknown,,,
104:911pp,104,Cloud Platform-Data Engineer(國際知名科技集團）,台灣利優資訊科技有限公司,data_engineer,False,6.0,,"python,sql,bigquery,etl,machine_learning,gcp","Python, SQL, BigQuery, ETL/ELT, Machine Learning (general), GCP","1,1,2,2,3,7",True,monthly,1600000.0,2000000.0,1800000.0
104:73ifb,104,Data Engineer 數據工程師(錦州街),山富國際旅行社股份有限公司,data_scientist,True,1.0,,"python,sql,airflow,data_warehouse,elasticsearch,etl,mysql,numpy,pandas,postgresql,feature_engineering,machine_learning,scikit_learn,nlp,pytorch,tensorflow,llm,docker,kubernetes","Python, SQL, Airflow, Data Warehouse, Elasticsearch, ETL/ELT, MySQL, NumPy, pandas, PostgreSQL, Feature Engineering, Machine Learning (general), scikit-learn, NLP, PyTorch, TensorFlow, Large Language Models, Docker, Kubernetes","1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,6,6",True,monthly,48000.0,,48000.0
104:8yvll,104,Data Engineer (Mid Level)  資料工程師（中階）,極酷科技有限公司,data_engineer,False,1.0,,"python,sql,airflow,bigquery,data_warehouse,dbt,etl,dashboard","Python, SQL, Airflow, BigQuery, Data Warehouse, dbt, ETL/ELT, Dashboarding","1,1,2,2,2,2,2,8",False,unknown,,,
104:8xruw,104,Senior Data Engineer,Edenred_新加坡商宜睿智慧股份有限公司台灣分公司,data_engineer,False,6.0,,"python,sql,etl,mysql,azure,databricks,gcp","Python, SQL, ETL/ELT, MySQL, Azure, Databricks, GCP","1,1,2,2,7,7,7",False,unknown,,,
104:8iy3u,104,投資分析研究人員,加百利資產管理有限公司,data_analyst,False,3.0,,"dashboard,excel","Dashboarding, Excel","8,8",True,monthly,0.0,30000.0,15000.0
104:7pkbr,104,歡迎新鮮人!! Data Analyst 數據分析師 / 蝦皮店到店,新加坡商蝦皮娛樂電商有限公司台灣分公司,data_analyst,False,,,"python,sql,machine_learning,statistics,excel","Python, SQL, Machine Learning (general), Statistics, Excel","1,1,3,3,8",False,unknown,,,
104:8drp1,104,商業數據分析師,世銳顧問有限公司,data_analyst,False,,,"r_lang,statistics,data_viz,excel","R, Statistics, Data Visualization, Excel","1,3,8,8",True,monthly,50000.0,60000.0,55000.0
104:842b7,104,數據分析師,本公司其他工作,data_analyst,False,2.0,,"python,r_lang,mongodb,machine_learning,statistics,dashboard,excel,power_bi,tableau","Python, R, MongoDB, Machine Learning (general), Statistics, Dashboarding, Excel, Power BI, Tableau","1,1,2,3,3,8,8,8,8",True,monthly,45000.0,70000.0,57500.0
104:92l61,104,數據分析師,雅德思生醫有限公司,data_scientist,False,2.0,,"python,sql,numpy,pandas,scikit_learn,statistics,pytorch,tensorflow,dashboard","Python, SQL, NumPy, pandas, scikit-learn, Statistics, PyTorch, TensorFlow, Dashboarding","1,1,2,2,3,3,4,4,8",True,monthly,48000.0,,48000.0
104:92g2q,104,資深數據分析師,露天市集國際資訊股份有限公司,data_analyst,False,3.0,,"python,sql,data_warehouse,statistics,dashboard","Python, SQL, Data Warehouse, Statistics, Dashboarding","1,1,2,3,8",False,unknown,,,
104:8z8l5,104,【台北】資訊部-數據分析師/資料分析師,五福旅行社股份有限公司,data_analyst,False,3.0,,"sql,postgresql,dashboard,data_viz,excel,tableau","SQL, PostgreSQL, Dashboarding, Data Visualization, Excel, Tableau","1,2,8,8,8,8",False,unknown,,,
104:8zkmg,104,數據分析師,博敦電子股份有限公司,data_analyst,False,,,"python,r_lang,sql,bigquery,data_warehouse,numpy,pandas,ab_testing,statistics,dashboard,data_viz","Python, R, SQL, BigQuery, Data Warehouse, NumPy, pandas, A/B Testing, Statistics, Dashboarding, Data Visualization","1,1,1,2,2,2,2,3,3,8,8",False,unknown,,,
104:8wtty,104,旺旺中時媒體集團_(CT) Data Analyst（資料分析師）,旺旺中時媒體集團_工商財經數位股份有限公司,data_analyst,False,3.0,,"python,r_lang,sql,dashboard,looker,power_bi,tableau","Python, R, SQL, Dashboarding, Looker, Power BI, Tableau","1,1,1,8,8,8,8",False,unknown,,,
104:8d6um,104,【產品處】[數據組 Data Team]數據分析師/資料分析師/Data analyst,域動行銷股份有限公司,data_scientist,False,1.0,,"python,sql,mysql,numpy,pandas,machine_learning,scikit_learn,statistics,pytorch,tensorflow,aws,gcp,looker,power_bi,tableau","Python, SQL, MySQL, NumPy, pandas, Machine Learning (general), scikit-learn, Statistics, PyTorch, TensorFlow, AWS, GCP, Looker, Power BI, Tableau","1,1,2,2,2,3,3,3,4,4,7,7,8,8,8",False,unknown,,,
104:8mdqm,104,數據分析師,麥司騛科技有限公司,data_analyst,False,3.0,,"python,sql,mysql,excel,tableau","Python, SQL, MySQL, Excel, Tableau","1,1,2,8,8",False,unknown,,,
104:8zap8,104,<Zenzy>資深數據分析師 (Senior Data Analyst),智通科創股份有限公司,data_analyst,False,4.0,,"python,sql,ab_testing,feature_engineering,statistics,dashboard,power_bi,tableau","Python, SQL, A/B Testing, Feature Engineering, Statistics, Dashboarding, Power BI, Tableau","1,1,3,3,3,8,8,8",False,unknown,,,
104:8wl74,104,區塊鍊產業技術分析/數據分析師,君苑家具CASA _鼎盛置業有限公司,data_analyst,False,1.0,,statistics,Statistics,3,True,monthly,40000.0,60000.0,50000.0
104:90tlw,104,商業財務分析師 / 數據分析師,美商凱斯企業股份有限公司台灣分公司,data_analyst,False,2.0,,"sql,statistics,dashboard,excel,power_bi","SQL, Statistics, Dashboarding, Excel, Power BI","1,3,8,8,8",True,monthly,45000.0,60000.0,52500.0
104:91a17,104,數據分析師,聚恆科技股份有限公司,data_analyst,False,,,"statistics,dashboard,excel,power_bi","Statistics, Dashboarding, Excel, Power BI","3,8,8,8",False,unknown,,,
104:8xd2r,104,資安數據分析師,訊揚科技有限公司,data_analyst,False,,,"dashboard,excel,power_bi","Dashboarding, Excel, Power BI","8,8,8",False,unknown,,,
104:8yz3k,104,人才資料分析師,康士藤管理顧問有限公司,data_analyst,False,5.0,,"python,statistics,dashboard","Python, Statistics, Dashboarding","1,3,8",True,monthly,42000.0,,42000.0
104:90a23,104,TaiwanPlus 數位分析室-數據分析師,本公司其他工作,data_analyst,False,1.0,,"python,bigquery,gcp,data_viz,excel,power_bi,tableau","Python, BigQuery, GCP, Data Visualization, Excel, Power BI, Tableau","1,2,7,8,8,8,8",False,unknown,,,
104:7vmmw,104,【數據發展部】數據分析師,聯合報股份有限公司,data_engineer,True,2.0,,"python,sql,etl,llm,gcp,vertex_ai,excel","Python, SQL, ETL/ELT, Large Language Models, GCP, Vertex AI, Excel","1,1,2,5,7,7,8",False,unknown,,,
104:8u6gh,104,Data Analyst/資料分析師,文境資科股份有限公司,data_analyst,False,,,"sql,etl,mysql,statistics,dashboard,power_bi","SQL, ETL/ELT, MySQL, Statistics, Dashboarding, Power BI","1,2,2,3,8,8",False,unknown,,,
104:7o52w,104,【數據發展部】數據分析師 - 事業發展中心,聯合報股份有限公司,data_analyst,True,1.0,,"python,sql,llm,gcp,excel,looker","Python, SQL, Large Language Models, GCP, Excel, Looker","1,1,5,7,8,8",False,unknown,,,
104:78wir,104,生管管理師,偉詮電子股份有限公司,data_analyst,False,3.0,,dashboard,Dashboarding,8,False,unknown,,,
104:91jm6,104,Customer Service Manager - Night Shift(大夜班),奇方動力有限公司,data_analyst,False,,,excel,Excel,8,False,unknown,,,
104:8xanj,104,Data Analyst,雲景科技股份有限公司,data_analyst,False,7.0,,sql,SQL,1,False,unknown,,,
104:8dtkm,104,Data Analyst / 數據分析師,台灣百應生物科技股份有限公司,data_analyst,False,,,"machine_learning,statistics,deep_learning,dashboard,excel","Machine Learning (general), Statistics, Deep Learning (general), Dashboarding, Excel","3,3,4,8,8",True,monthly,35000.0,50000.0,42500.0
104:8iy9c,104,（Sr.) Product Data Analyst 產品數據分析師,17LIVE_藝啟股份有限公司,data_analyst,False,4.0,,"python,r_lang,sql,ab_testing,machine_learning,statistics,data_viz,power_bi,tableau","Python, R, SQL, A/B Testing, Machine Learning (general), Statistics, Data Visualization, Power BI, Tableau","1,1,1,3,3,3,8,8,8",False,unknown,,,
104:8z0zg,104,"(日語)【年薪""500萬日圓""】數據分析師 / Data Analyst（行銷分析）（東京勤務・部分遠端） データマーケティングアナリスト",台灣克羅瓦雷克斯股份有限公司,data_analyst,False,3.0,,"python,r_lang,sql,etl,mysql,postgresql,statistics,computer_vision,aws,excel,looker,power_bi,tableau","Python, R, SQL, ETL/ELT, MySQL, PostgreSQL, Statistics, Computer Vision, AWS, Excel, Looker, Power BI, Tableau","1,1,1,2,2,2,3,4,7,8,8,8,8",False,unknown,,,
104:8yxg7,104,媒體策略-資料分析師 Data Analyst,本公司其他工作,data_engineer,False,5.0,,"python,r_lang,sql,spark,etl,hadoop,aws,azure,gcp,power_bi,tableau","Python, R, SQL, Apache Spark, ETL/ELT, Hadoop, AWS, Azure, GCP, Power BI, Tableau","1,1,1,2,2,2,7,7,7,8,8",False,unknown,,,
104:8w43e,104,Staff Data Analyst 資深數據分析師(Catalog 和 PBS 團隊),酷澎股份有限公司,data_analyst,False,4.0,,"python,sql,mysql,statistics,dashboard,data_viz,looker,power_bi,tableau","Python, SQL, MySQL, Statistics, Dashboarding, Data Visualization, Looker, Power BI, Tableau","1,1,2,3,8,8,8,8,8",True,monthly,70000.0,,70000.0
104:7ob2g,104,Data Analyst資料分析師,Taiwan AI Labs_雅婷智慧股份有限公司,data_analyst,True,2.0,,"python,r_lang,sql,statistics,nlp,llm,docker,data_viz,power_bi","Python, R, SQL, Statistics, NLP, Large Language Models, Docker, Data Visualization, Power BI","1,1,1,3,4,5,6,8,8",False,unknown,,,
104:9035g,104,供應鏈資料分析師 (Supply Chain Data Analyst),明門實業股份有限公司,data_analyst,False,3.0,,"python,sql,machine_learning,power_bi,tableau","Python, SQL, Machine Learning (general), Power BI, Tableau","1,1,3,8,8",False,unknown,,,
104:8xhsm,104,Business Financial Analyst / Data Analyst,美商凱斯企業股份有限公司台灣分公司,data_analyst,False,2.0,,"sql,statistics,excel,power_bi","SQL, Statistics, Excel, Power BI","1,3,8,8",True,monthly,45000.0,60000.0,52500.0
104:8sj5d,104,<產品開發> 資料分析師 / Data Analyst - Tableau,聯和科創股份有限公司,data_analyst,False,5.0,,"python,sql,tableau","Python, SQL, Tableau","1,1,8",True,monthly,55000.0,75000.0,65000.0
104:8x5pd,104,商業數據分析師（Business Data Analyst）,Kava Accessories_珂汎國際有限公司,data_analyst,False,2.0,,"python,sql,dashboard,data_viz,excel,looker,power_bi,tableau","Python, SQL, Dashboarding, Data Visualization, Excel, Looker, Power BI, Tableau","1,1,8,8,8,8,8,8",False,unknown,,,
104:72pjq,104,Data Analyst（ML/Modeling）,日新軟體股份有限公司,data_analyst,False,5.0,,"python,r_lang,sql,machine_learning,statistics,tableau","Python, R, SQL, Machine Learning (general), Statistics, Tableau","1,1,1,3,3,8",False,unknown,,,
104:8sna0,104,Sr Data Analyst,香港商雅是達電子有限公司台灣分公司,data_analyst,False,5.0,,"python,sql,machine_learning,azure,databricks,data_viz,excel,power_bi,tableau","Python, SQL, Machine Learning (general), Azure, Databricks, Data Visualization, Excel, Power BI, Tableau","1,1,3,7,7,8,8,8,8",False,unknown,,,
104:6bo5s,104,【不動產經紀人員】(台北市全區)挑戰月領7萬/房屋仲介/30天工作體驗/不適應離職再領5萬轉職金,信義房屋股份有限公司,data_scientist,False,,,"machine_learning,tableau","Machine Learning (general), Tableau","3,8",True,monthly,50000.0,70000.0,60000.0
104:91qf3,104,【立即報名】科林研發製造7/4面談會｜設備助理工程師,美商_科林研發製造股份有限公司_Lam Research Manufacturing,data_scientist,False,,,"r_lang,machine_learning","R, Machine Learning (general)","1,3",True,monthly,36000.0,60000.0,48000.0
104:92bsg,104,[瑞士商] (Senior) Machine Learning Engineer,Proton_質子科技有限公司,algorithm_engineer,True,1.0,,"java,python,machine_learning,statistics,deep_learning,nlp,ai_agents,llm,gcp","Java, Python, Machine Learning (general), Statistics, Deep Learning (general), NLP, AI Agents, Large Language Models, GCP","1,1,3,3,4,4,5,5,7",True,yearly,83333.33333333333,,83333.33333333333
104:8tpvr,104,資料科學家 Data Scientist,瑋恆科技有限公司,data_scientist,True,1.0,,"python,sql,bigquery,mysql,postgresql,machine_learning,scikit_learn,statistics,pytorch,llm,excel,power_bi","Python, SQL, BigQuery, MySQL, PostgreSQL, Machine Learning (general), scikit-learn, Statistics, PyTorch, Large Language Models, Excel, Power BI","1,1,2,2,2,3,3,3,4,5,8,8",False,unknown,,,
104:8z75a,104,資料科學家,上洋產業股份有限公司,data_scientist,True,3.0,,"python,sql,numpy,pandas,machine_learning,scikit_learn,statistics,llm,data_viz,excel","Python, SQL, NumPy, pandas, Machine Learning (general), scikit-learn, Statistics, Large Language Models, Data Visualization, Excel","1,1,2,2,3,3,3,5,8,8",True,monthly,50000.0,,50000.0
104:8sbho,104,"資料科學家Data Scientist | 生物資訊Bioinformatics, 系統生物 System Biology",維曙智能科技有限公司,ml_engineer,False,,,"python,r_lang,feature_engineering,machine_learning,deep_learning,pytorch,tensorflow,ci_cd,docker,data_viz","Python, R, Feature Engineering, Machine Learning (general), Deep Learning (general), PyTorch, TensorFlow, CI/CD, Docker, Data Visualization","1,1,3,3,4,4,4,6,6,8",True,yearly,66666.66666666667,,66666.66666666667
104:8wrvg,104,Data Scientist | 資料科學家,聯齊科技股份有限公司,data_scientist,False,,,"python,airflow,postgresql,machine_learning,statistics,docker,aws","Python, Airflow, PostgreSQL, Machine Learning (general), Statistics, Docker, AWS","1,2,2,3,3,6,7",False,unknown,,,
104:8ur23,104,Sr. Data Scientist 資深資料科學家,17LIVE_藝啟股份有限公司,data_scientist,True,3.0,,"python,r_lang,scala,ab_testing,feature_engineering,machine_learning,statistics,llm,model_serving,data_viz,power_bi,tableau","Python, R, Scala, A/B Testing, Feature Engineering, Machine Learning (general), Statistics, Large Language Models, Model Serving, Data Visualization, Power BI, Tableau","1,1,1,3,3,3,3,5,6,8,8,8",False,unknown,,,
104:73jxa,104,RD-資料科學家 Data Scientist,順立智慧股份有限公司,data_scientist,False,3.0,,"python,sql,data_warehouse,numpy,pandas,statistics,time_series,dashboard","Python, SQL, Data Warehouse, NumPy, pandas, Statistics, Time Series, Dashboarding","1,1,2,2,2,3,3,8",False,unknown,,,
104:8fj1p,104,資深資料科學家 Senior/Junior Data Scientist,鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,ml_engineer,False,3.0,,"python,sql,airflow,nosql,machine_learning,computer_vision,deep_learning,pytorch,tensorflow,docker,azure","Python, SQL, Airflow, NoSQL, Machine Learning (general), Computer Vision, Deep Learning (general), PyTorch, TensorFlow, Docker, Azure","1,1,2,2,3,4,4,4,4,6,7",False,unknown,,,
104:90dss,104,新光人壽_AI資料科學家,新光人壽保險股份有限公司_總公司,data_scientist,True,3.0,,"python,sql,machine_learning,ai_agents,llm","Python, SQL, Machine Learning (general), AI Agents, Large Language Models","1,1,3,5,5",False,unknown,,,
104:8hao1,104,資料科學家,鈊象電子股份有限公司,ml_engineer,True,5.0,,"r_lang,machine_learning,scikit_learn,statistics,deep_learning,keras,pytorch,tensorflow,llm,rag","R, Machine Learning (general), scikit-learn, Statistics, Deep Learning (general), Keras, PyTorch, TensorFlow, Large Language Models, RAG","1,3,3,3,4,4,4,4,5,5",False,unknown,,,
104:6ylyi,104,Data Scientist,巨量移動科技股份有限公司,data_scientist,False,2.0,,"python,r_lang,numpy,pandas,feature_engineering,machine_learning,scikit_learn,deep_learning,data_viz","Python, R, NumPy, pandas, Feature Engineering, Machine Learning (general), scikit-learn, Deep Learning (general), Data Visualization","1,1,2,2,3,3,3,4,8",False,unknown,,,
104:8zo5p,104,資料科學家_(創新發展處_擴編),(總公司)南山人壽保險股份有限公司,ai_engineer,True,3.0,,"spark,hadoop,feature_engineering,machine_learning,statistics,deep_learning,pytorch,tensorflow,ai_agents,fine_tuning,langchain,llm,prompt_engineering,rag,kubernetes,model_serving,data_viz,power_bi,tableau","Apache Spark, Hadoop, Feature Engineering, Machine Learning (general), Statistics, Deep Learning (general), PyTorch, TensorFlow, AI Agents, Fine-tuning, LangChain, Large Language Models, Prompt Engineering, RAG, Kubernetes, Model Serving, Data Visualization, Power BI, Tableau","2,2,3,3,3,4,4,4,5,5,5,5,5,5,6,6,8,8,8",False,unknown,,,
104:8tfqn,104,Proptech/Fintech Python後端工程師/資料科學家,九天資產管理股份有限公司,backend,True,,,"java,python,etl,mongodb,mysql,machine_learning,nlp,llm,rag,docker,fastapi,azure,data_viz,django,nodejs","Java, Python, ETL/ELT, MongoDB, MySQL, Machine Learning (general), NLP, Large Language Models, RAG, Docker, FastAPI, Azure, Data Visualization, Django, Node.js","1,1,2,2,2,3,4,5,5,6,6,7,8,9,9",False,unknown,,,
104:8wskv,104,經企_資料科學家 / AI數據架構師,遠雄人壽保險事業股份有限公司(總公司),data_engineer,False,8.0,,"python,etl,excel","Python, ETL/ELT, Excel","1,2,8",False,unknown,,,
104:85e5y,104,MITxTaipei Tech-AI資料科學家/AI工程師,國立臺北科技大學,ml_engineer,True,2.0,,"python,machine_learning,deep_learning,pytorch,tensorflow,ai_agents,fine_tuning,llm","Python, Machine Learning (general), Deep Learning (general), PyTorch, TensorFlow, AI Agents, Fine-tuning, Large Language Models","1,3,4,4,4,5,5,5",False,unknown,,,
104:8uxaq,104,Data Scientist/資料科學家,智安科創股份有限公司,ml_engineer,True,1.0,,"python,sql,mysql,nosql,numpy,pandas,machine_learning,scikit_learn,deep_learning,pytorch,tensorflow,llm,docker,fastapi,aws,flask,rest_api","Python, SQL, MySQL, NoSQL, NumPy, pandas, Machine Learning (general), scikit-learn, Deep Learning (general), PyTorch, TensorFlow, Large Language Models, Docker, FastAPI, AWS, Flask, REST API","1,1,2,2,2,2,3,3,4,4,4,5,6,6,7,9,9",False,unknown,,,
104:921v5,104,資料科學家,運達航運股份有限公司,data_scientist,False,,,"python,sql,etl,numpy,pandas,lightgbm,machine_learning,scikit_learn,statistics,time_series,xgboost","Python, SQL, ETL/ELT, NumPy, pandas, LightGBM, Machine Learning (general), scikit-learn, Statistics, Time Series, XGBoost","1,1,2,2,2,3,3,3,3,3,3",True,monthly,50000.0,52000.0,51000.0
